community,collapse,stress_param,max_eigval,motif
1,1.0,0.61,-0.00082,1
2,1.0,0.65,-0.001,1
3,1.0,0.36,-0.00089,1
4,1.0,0.49,-0.00096,1
5,1.0,0.78,-0.001,1
6,1.0,0.41,-0.0007,1
7,1.0,0.73,-0.00099,1
8,1.0,0.63,-0.00099,1
9,1.0,0.76,-0.00098,1
10,1.0,0.91,-0.001,1
11,1.0,0.76,-0.00099,1
12,1.0,0.56,-0.00055,1
13,1.0,0.84,-0.00097,1
14,1.0,0.73,-0.00098,1
15,1.0,0.65,-0.00097,1
16,1.0,0.59,-0.00097,1
17,1.0,0.62,-0.00089,1
18,1.0,0.72,-0.00097,1
19,1.0,0.65,-0.00095,1
20,1.0,0.74,-0.00097,1
21,1.0,0.41,-0.00081,1
22,1.0,0.7,-0.00081,1
23,1.0,0.71,-0.00098,1
24,1.0,0.56,-0.00033,1
25,1.0,0.65,-0.00094,1
26,1.0,0.34,-0.00057,1
27,1.0,0.71,-0.00079,1
28,1.0,0.74,-0.00088,1
29,1.0,0.94,-0.00098,1
30,1.0,0.73,-0.00092,1
31,1.0,0.95,-0.001,1
32,1.0,0.39,-0.00078,1
33,1.0,0.83,-0.00083,1
34,1.0,0.79,-0.00099,1
35,1.0,0.35,-0.00065,1
36,1.0,0.57,-0.00086,1
37,1.0,0.57,-0.00099,1
38,1.0,0.61,-0.00086,1
39,1.0,0.55,-0.00089,1
40,1.0,0.42,-0.00084,1
41,1.0,0.81,-0.001,1
42,1.0,0.34,-0.00094,1
43,1.0,0.6,-0.00099,1
44,1.0,0.91,-0.00048,1
45,1.0,0.38,-0.00074,1
46,1.0,0.59,-0.00089,1
47,1.0,0.36,-0.00064,1
48,1.0,0.71,-0.00097,1
49,1.0,0.39,-0.00098,1
50,1.0,0.89,-0.00089,1
51,1.0,0.66,-0.0008,1
52,1.0,0.89,-0.00097,1
53,1.0,0.47,-0.00083,1
54,1.0,0.77,-0.001,1
55,1.0,0.63,-0.00063,1
56,1.0,0.47,-0.00072,1
57,1.0,0.55,-0.00097,1
58,1.0,0.33,-0.0008,1
59,1.0,0.53,-0.00054,1
60,1.0,0.62,-0.00076,1
61,1.0,0.49,-0.00083,1
62,1.0,0.38,-0.00059,1
63,1.0,0.48,-0.00065,1
64,1.0,0.52,-0.00078,1
65,1.0,0.72,-0.00077,1
66,1.0,0.39,-0.00036,1
67,1.0,0.61,-0.00096,1
68,1.0,0.61,-0.00098,1
69,1.0,0.42,-0.00055,1
70,1.0,0.5,-0.00077,1
71,1.0,0.5,-0.00085,1
72,1.0,0.46,-0.00098,1
73,1.0,0.76,-0.00073,1
74,1.0,0.59,-0.00076,1
75,1.0,0.8,-0.00099,1
76,1.0,0.58,-0.00056,1
77,1.0,0.56,-0.00077,1
78,1.0,0.83,-0.00099,1
79,1.0,0.7,-0.00097,1
80,1.0,0.51,-0.00074,1
81,1.0,0.84,-0.00096,1
82,1.0,0.91,-0.00091,1
83,1.0,0.81,-0.00089,1
84,1.0,0.56,-0.001,1
85,1.0,0.8,-0.00098,1
86,1.0,0.92,-0.00099,1
87,1.0,0.64,-0.00092,1
88,1.0,0.9,-0.00097,1
89,1.0,0.62,-0.00095,1
90,1.0,0.95,-0.00095,1
91,1.0,0.94,-0.00099,1
92,1.0,0.57,-0.00094,1
93,1.0,0.9,-0.00097,1
94,1.0,0.8,-0.001,1
95,1.0,0.54,-0.00086,1
96,1.0,0.73,-0.00098,1
97,1.0,0.49,-0.00064,1
98,1.0,0.35,-0.00089,1
99,1.0,0.43,-0.00072,1
100,1.0,0.6,-0.00097,1
1,1.0,0.75,-0.00093,2
2,1.0,0.5,-0.00078,2
3,1.0,0.46,-0.0009,2
4,1.0,0.58,-0.00083,2
5,1.0,0.61,-0.00077,2
6,1.0,0.78,-0.00076,2
7,1.0,0.81,-0.00087,2
8,1.0,0.39,-0.00083,2
9,1.0,0.54,-0.00077,2
10,1.0,0.76,-0.00072,2
11,1.0,0.51,-0.00072,2
12,1.0,0.66,-0.00098,2
13,1.0,0.28,-0.00099,2
14,1.0,0.45,-0.00063,2
15,1.0,0.35,-0.00096,2
16,1.0,0.49,-0.00077,2
17,1.0,0.7,-0.00089,2
18,1.0,0.81,-0.00077,2
19,1.0,0.87,-0.00097,2
20,1.0,0.88,-0.00096,2
21,1.0,0.77,-0.00092,2
22,1.0,0.38,-0.00081,2
23,1.0,0.41,-0.00037,2
24,1.0,0.6,-0.00085,2
25,1.0,0.4,-0.00076,2
26,1.0,0.37,-0.0006,2
27,1.0,1.06,-0.00099,2
28,1.0,0.65,-0.00071,2
29,1.0,0.61,-0.00099,2
30,1.0,0.73,-0.00099,2
31,1.0,0.68,-0.00062,2
32,1.0,0.76,-0.00094,2
33,1.0,0.51,-0.00083,2
34,1.0,0.63,-0.001,2
35,1.0,0.35,-0.00098,2
36,1.0,0.47,-0.00049,2
37,1.0,0.77,-0.0009,2
38,1.0,0.77,-0.00097,2
39,1.0,0.44,-0.00098,2
40,1.0,0.83,-0.00095,2
41,1.0,0.74,-0.00098,2
42,1.0,0.57,-0.001,2
43,1.0,0.38,-0.00099,2
44,1.0,0.59,-0.00095,2
45,1.0,0.58,-0.00097,2
46,1.0,0.75,-0.00089,2
47,1.0,0.41,-0.00027,2
48,1.0,0.53,-0.00091,2
49,1.0,0.47,-0.0008,2
50,1.0,0.44,-0.00076,2
51,1.0,0.34,-0.00058,2
52,1.0,0.39,-0.00083,2
53,1.0,0.51,-0.00073,2
54,1.0,0.54,-0.00098,2
55,1.0,0.56,-0.00094,2
56,1.0,0.65,-0.00082,2
57,1.0,0.54,-0.00098,2
58,1.0,0.92,-0.00085,2
59,1.0,0.32,-0.00032,2
60,1.0,0.71,-0.00093,2
61,1.0,0.53,-0.0009,2
62,1.0,0.54,-0.001,2
63,1.0,1.0,-0.00099,2
64,1.0,0.56,-0.00078,2
65,1.0,0.98,-0.00098,2
66,1.0,0.78,-0.00069,2
67,1.0,0.47,-0.00088,2
68,1.0,0.57,-0.00091,2
69,1.0,0.84,-0.001,2
70,1.0,0.61,-0.00098,2
71,1.0,0.7,-0.00092,2
72,1.0,0.7,-0.00093,2
73,1.0,0.6,-0.001,2
74,1.0,0.65,-0.00088,2
75,1.0,0.53,-0.00066,2
76,1.0,0.79,-0.00083,2
77,1.0,0.58,-0.0008,2
78,1.0,0.69,-0.00097,2
79,1.0,0.47,-0.00091,2
80,1.0,0.94,-0.00099,2
81,1.0,0.64,-0.00087,2
82,1.0,0.7,-0.00025,2
83,1.0,0.47,-0.00098,2
84,1.0,0.5,-0.00079,2
85,1.0,0.93,-0.00093,2
86,1.0,0.54,-0.00086,2
87,1.0,0.9,-0.00098,2
88,1.0,0.51,-0.00089,2
89,1.0,0.38,-0.00099,2
90,1.0,0.31,-0.00045,2
91,1.0,0.72,-0.00098,2
92,1.0,0.54,-0.00098,2
93,1.0,0.42,-0.00079,2
94,1.0,0.53,-0.00084,2
95,1.0,0.61,-0.00098,2
96,1.0,0.46,-0.00052,2
97,1.0,0.5,-0.00085,2
98,1.0,0.57,-0.00068,2
99,1.0,0.57,-0.00085,2
100,1.0,0.91,-0.00059,2
1,1.0,0.81,-0.00097,6
2,1.0,0.74,-0.00091,6
3,1.0,0.46,-0.00097,6
4,1.0,0.22,-0.00098,6
5,1.0,0.36,-0.00097,6
6,1.0,0.52,-0.00099,6
7,1.0,0.35,-0.00062,6
8,1.0,0.74,-0.00099,6
9,1.0,0.61,-0.001,6
10,1.0,0.49,-0.00087,6
11,1.0,0.53,-0.001,6
12,1.0,0.64,-0.00093,6
13,1.0,0.38,-0.00099,6
14,1.0,0.44,-0.00064,6
15,1.0,0.54,-0.00092,6
16,1.0,0.34,-0.00046,6
17,1.0,0.43,-0.0006,6
18,1.0,0.64,-0.00094,6
19,1.0,0.47,-0.00072,6
20,1.0,0.59,-0.00097,6
21,1.0,0.79,-0.00093,6
22,1.0,0.4,-0.00072,6
23,1.0,0.47,-0.0008,6
24,1.0,0.44,-0.00098,6
25,1.0,0.59,-0.00097,6
26,1.0,0.84,-0.00097,6
27,1.0,0.64,-0.00074,6
28,1.0,0.73,-0.00098,6
29,1.0,0.7,-0.00097,6
30,1.0,0.64,-0.00095,6
31,1.0,0.34,-0.00099,6
32,1.0,0.73,-0.00093,6
33,1.0,0.7,-0.0009,6
34,1.0,1.24,-0.001,6
35,1.0,0.34,-0.00097,6
36,1.0,0.4,-0.00084,6
37,1.0,0.86,-0.00097,6
38,1.0,0.58,-0.00096,6
39,1.0,0.55,-0.00099,6
