"n_spp","metric","Parameter","Median","CI_low","CI_high","kld"
25,"mvi","Fixed effects",NA,NA,NA,NA
NA,NA,"(Intercept)","3.146","3.097","3.195","0"
NA,NA,"stand_time","0.001","-0.011","0.013","0"
NA,NA,"stressed1","0.314","0.291","0.337","0"
NA,NA,"ts_length","-0.347","-0.383","-0.312","0"
NA,NA,"search_effort","1.845","1.819","1.871","0"
NA,NA,"stand_time:stressed1","-0.036","-0.053","-0.018","0"
NA,NA,"stand_time:ts_length","-0.002","-0.033","0.029","0"
NA,NA,"stressed1:ts_length","0.561","0.511","0.611","0"
NA,NA,"stand_time:search_effort","-0.001","-0.021","0.019","0"
NA,NA,"stressed1:search_effort","0.187","0.151","0.224","0"
NA,NA,"ts_length:search_effort","0.151","0.094","0.208","0"
NA,NA,"stand_time:stressed1:ts_length","0.639","0.596","0.683","0"
NA,NA,"stand_time:stressed1:search_effort","0.007","-0.021","0.034","0"
NA,NA,"stand_time:ts_length:search_effort","0.005","-0.045","0.055","0"
NA,NA,"stressed1:ts_length:search_effort","0.073","-0.008","0.153","0"
NA,NA,"stand_time:stressed1:ts_length:search_effort","0.086","0.016","0.157","0"
NA,NA,"Random effects",NA,NA,NA,NA
NA,NA,"Precision for comm_id","59.315","57.37","60.854",NA
NA,NA,"Precision for ar_id","23.835","23.519","24.061",NA
NA,NA,"Precision for time","8.355","8.306","8.411",NA
NA,NA,"PACF1 for time","0.986","0.986","0.986",NA
