"n_spp","metric","Parameter","Median","CI_low","CI_high","kld"
5,"mvi","Fixed effects",NA,NA,NA,NA
NA,NA,"(Intercept)","2.716","2.664","2.767","0"
NA,NA,"stand_time","0.02","0.005","0.034","0"
NA,NA,"stressed1","-0.001","-0.019","0.016","0"
NA,NA,"ts_length","0.01","-0.017","0.037","0"
NA,NA,"search_effort","1.797","1.777","1.817","0"
NA,NA,"stand_time:stressed1","-0.065","-0.085","-0.044","0"
NA,NA,"stand_time:ts_length","-0.045","-0.08","-0.011","0"
NA,NA,"stressed1:ts_length","0.144","0.106","0.182","0"
NA,NA,"stand_time:search_effort","-0.001","-0.024","0.022","0"
NA,NA,"stressed1:search_effort","0.101","0.073","0.129","0"
NA,NA,"ts_length:search_effort","0.113","0.069","0.157","0"
NA,NA,"stand_time:stressed1:ts_length","0.512","0.463","0.561","0"
NA,NA,"stand_time:stressed1:search_effort","0.045","0.012","0.077","0"
NA,NA,"stand_time:ts_length:search_effort","-0.006","-0.062","0.05","0"
NA,NA,"stressed1:ts_length:search_effort","-0.055","-0.117","0.007","0"
NA,NA,"stand_time:stressed1:ts_length:search_effort","0.23","0.15","0.309","0"
NA,NA,"Random effects",NA,NA,NA,NA
NA,NA,"Precision for comm_id","52.169","50.774","54.09",NA
NA,NA,"Precision for ar_id","15.617","15.328","15.826",NA
NA,NA,"Precision for time","13.956","13.833","14.048",NA
NA,NA,"PACF1 for time","0.971","0.971","0.971",NA
