"n_spp","metric","Parameter","Median","CI_low","CI_high","kld"
15,"multiJI","Fixed effects",NA,NA,NA,NA
NA,NA,"(Intercept)","1.434","1.365","1.502","0"
NA,NA,"stand_time","0.206","0.143","0.268","0"
NA,NA,"stressed1","0.052","0.013","0.091","0"
NA,NA,"ts_length","-1.349","-1.398","-1.3","0"
NA,NA,"search_effort","-0.014","-0.058","0.029","0"
NA,NA,"stand_time:stressed1","-0.129","-0.219","-0.04","0"
NA,NA,"stand_time:ts_length","-0.376","-0.498","-0.254","0"
NA,NA,"stressed1:ts_length","0.003","-0.067","0.072","0"
NA,NA,"stand_time:search_effort","-0.082","-0.182","0.018","0"
NA,NA,"stressed1:search_effort","0","-0.062","0.063","0"
NA,NA,"ts_length:search_effort","0.32","0.242","0.398","0"
NA,NA,"stand_time:stressed1:ts_length","0.492","0.319","0.666","0"
NA,NA,"stand_time:stressed1:search_effort","0.04","-0.103","0.184","0"
NA,NA,"stand_time:ts_length:search_effort","0.138","-0.058","0.334","0"
NA,NA,"stressed1:ts_length:search_effort","0.099","-0.013","0.211","0"
NA,NA,"stand_time:stressed1:ts_length:search_effort","-0.206","-0.485","0.073","0"
NA,NA,"Random effects",NA,NA,NA,NA
NA,NA,"Precision for comm_id","31.894","31.754","31.96",NA
NA,NA,"Precision for ar_id","1.427","1.416","1.441",NA
NA,NA,"Precision for time","57.216","56.615","57.827",NA
NA,NA,"PACF1 for time","-0.999","-0.999","-0.999",NA
