"n_spp","metric","Parameter","Median","CI_low","CI_high","kld"
5,"mean_uniJI","Fixed effects",NA,NA,NA,NA
NA,NA,"(Intercept)","0.432","0.383","0.48","0"
NA,NA,"stand_time","-0.009","-0.017","0","0"
NA,NA,"stressed1","0.032","0.023","0.041","0"
NA,NA,"ts_length","-0.527","-0.541","-0.513","0"
NA,NA,"search_effort","-0.018","-0.028","-0.007","0"
NA,NA,"stand_time:stressed1","-0.022","-0.034","-0.01","0"
NA,NA,"stand_time:ts_length","0.024","0.004","0.045","0"
NA,NA,"stressed1:ts_length","0.075","0.055","0.094","0"
NA,NA,"stand_time:search_effort","-0.001","-0.014","0.013","0"
NA,NA,"stressed1:search_effort","0.147","0.133","0.162","0"
NA,NA,"ts_length:search_effort","0.417","0.395","0.439","0"
NA,NA,"stand_time:stressed1:ts_length","0.336","0.308","0.365","0"
NA,NA,"stand_time:stressed1:search_effort","0.093","0.073","0.112","0"
NA,NA,"stand_time:ts_length:search_effort","-0.007","-0.04","0.026","0"
NA,NA,"stressed1:ts_length:search_effort","-0.054","-0.086","-0.023","0"
NA,NA,"stand_time:stressed1:ts_length:search_effort","-0.117","-0.163","-0.07","0"
NA,NA,"Random effects",NA,NA,NA,NA
NA,NA,"Precision for comm_id","56.786","41.982","81.995",NA
NA,NA,"Precision for ar_id","49.159","48.185","50.265",NA
NA,NA,"Precision for time","55.388","55.103","55.692",NA
NA,NA,"PACF1 for time","0.951","0.951","0.952",NA
