"n_spp","metric","Parameter","Median","CI_low","CI_high","kld"
5,"multiJI","Fixed effects",NA,NA,NA,NA
NA,NA,"(Intercept)","1.014","0.956","1.072","0"
NA,NA,"stand_time","0.064","0.012","0.116","0"
NA,NA,"stressed1","-0.028","-0.08","0.024","0"
NA,NA,"ts_length","-1.281","-1.352","-1.209","0"
NA,NA,"search_effort","0.075","0.022","0.128","0"
NA,NA,"stand_time:stressed1","-0.077","-0.16","0.005","0"
NA,NA,"stand_time:ts_length","-0.112","-0.225","0.001","0"
NA,NA,"stressed1:ts_length","0.355","0.246","0.465","0"
NA,NA,"stand_time:search_effort","-0.105","-0.189","-0.022","0"
NA,NA,"stressed1:search_effort","-0.059","-0.143","0.025","0"
NA,NA,"ts_length:search_effort","0.298","0.184","0.413","0"
NA,NA,"stand_time:stressed1:ts_length","0.568","0.396","0.741","0"
NA,NA,"stand_time:stressed1:search_effort","0.181","0.048","0.314","0"
NA,NA,"stand_time:ts_length:search_effort","0.181","0","0.363","0"
NA,NA,"stressed1:ts_length:search_effort","0.428","0.252","0.605","0"
NA,NA,"stand_time:stressed1:ts_length:search_effort","-0.665","-0.943","-0.386","0"
NA,NA,"Random effects",NA,NA,NA,NA
NA,NA,"Precision for comm_id","55.539","54.915","56.438",NA
NA,NA,"Precision for ar_id","0.92","0.91","0.927",NA
NA,NA,"Precision for time","2.327","2.31","2.342",NA
NA,NA,"PACF1 for time","1","1","1",NA
