"n_spp","metric","Parameter","Median","CI_low","CI_high","kld"
25,"multiAR","Fixed effects",NA,NA,NA,NA
NA,NA,"(Intercept)","0.389","0.338","0.441","0"
NA,NA,"stand_time","-0.023","-0.035","-0.011","0"
NA,NA,"stressed1","-0.056","-0.07","-0.042","0"
NA,NA,"ts_length","-0.846","-0.867","-0.826","0"
NA,NA,"search_effort","-0.033","-0.049","-0.017","0"
NA,NA,"stand_time:stressed1","-0.015","-0.033","0.002","0"
NA,NA,"stand_time:ts_length","0.046","0.022","0.07","0"
NA,NA,"stressed1:ts_length","0.279","0.25","0.308","0"
NA,NA,"stand_time:search_effort","0.009","-0.011","0.029","0"
NA,NA,"stressed1:search_effort","0.047","0.024","0.07","0"
NA,NA,"ts_length:search_effort","0.221","0.188","0.254","0"
NA,NA,"stand_time:stressed1:ts_length","0.047","0.013","0.081","0"
NA,NA,"stand_time:stressed1:search_effort","0.013","-0.015","0.041","0"
NA,NA,"stand_time:ts_length:search_effort","-0.021","-0.059","0.017","0"
NA,NA,"stressed1:ts_length:search_effort","-0.136","-0.183","-0.09","0"
NA,NA,"stand_time:stressed1:ts_length:search_effort","-0.032","-0.086","0.022","0"
NA,NA,"Random effects",NA,NA,NA,NA
NA,NA,"Precision for comm_id","51.927","28.151","99.789",NA
NA,NA,"Precision for ar_id","74.567","71.641","77.449",NA
NA,NA,"Precision for time","40.576","40.039","41.109",NA
NA,NA,"PACF1 for time","1","1","1",NA
