"n_spp","metric","Parameter","Median","CI_low","CI_high","kld"
15,"multiAR","Fixed effects",NA,NA,NA,NA
NA,NA,"(Intercept)","0.333","0.289","0.377","0"
NA,NA,"stand_time","-0.017","-0.03","-0.004","0"
NA,NA,"stressed1","0.01","-0.004","0.023","0"
NA,NA,"ts_length","-1.306","-1.326","-1.285","0"
NA,NA,"search_effort","-0.084","-0.1","-0.068","0"
NA,NA,"stand_time:stressed1","-0.084","-0.103","-0.065","0"
NA,NA,"stand_time:ts_length","0.027","-0.002","0.055","0"
NA,NA,"stressed1:ts_length","0.103","0.073","0.132","0"
NA,NA,"stand_time:search_effort","0.012","-0.01","0.033","0"
NA,NA,"stressed1:search_effort","0.031","0.008","0.053","0"
NA,NA,"ts_length:search_effort","0.563","0.529","0.596","0"
NA,NA,"stand_time:stressed1:ts_length","0.463","0.422","0.504","0"
NA,NA,"stand_time:stressed1:search_effort","0.055","0.024","0.086","0"
NA,NA,"stand_time:ts_length:search_effort","-0.018","-0.064","0.028","0"
NA,NA,"stressed1:ts_length:search_effort","0.016","-0.032","0.063","0"
NA,NA,"stand_time:stressed1:ts_length:search_effort","-0.29","-0.355","-0.225","0"
NA,NA,"Random effects",NA,NA,NA,NA
NA,NA,"Precision for comm_id","65.992","30.108","137.077",NA
NA,NA,"Precision for ar_id","27.848","27.467","28.169",NA
NA,NA,"Precision for time","34.427","34.055","34.712",NA
NA,NA,"PACF1 for time","0.989","0.989","0.989",NA
