"n_spp","metric","Parameter","Median","CI_low","CI_high","kld"
25,"mean_uniJI","Fixed effects",NA,NA,NA,NA
NA,NA,"(Intercept)","0.434","0.387","0.481","0"
NA,NA,"stand_time","-0.01","-0.014","-0.007","0"
NA,NA,"stressed1","-0.013","-0.017","-0.008","0"
NA,NA,"ts_length","-0.531","-0.538","-0.524","0"
NA,NA,"search_effort","-0.003","-0.009","0.002","0"
NA,NA,"stand_time:stressed1","-0.007","-0.012","-0.003","0"
NA,NA,"stand_time:ts_length","0.021","0.013","0.03","0"
NA,NA,"stressed1:ts_length","0.128","0.117","0.138","0"
NA,NA,"stand_time:search_effort","0.004","-0.001","0.01","0"
NA,NA,"stressed1:search_effort","0.054","0.046","0.061","0"
NA,NA,"ts_length:search_effort","0.532","0.52","0.544","0"
NA,NA,"stand_time:stressed1:ts_length","0.062","0.05","0.074","0"
NA,NA,"stand_time:stressed1:search_effort","0.002","-0.006","0.01","0"
NA,NA,"stand_time:ts_length:search_effort","-0.012","-0.026","0.002","0"
NA,NA,"stressed1:ts_length:search_effort","-0.041","-0.058","-0.024","0"
NA,NA,"stand_time:stressed1:ts_length:search_effort","0.035","0.015","0.054","0"
NA,NA,"Random effects",NA,NA,NA,NA
NA,NA,"Precision for comm_id","58.443","47.795","70.717",NA
NA,NA,"Precision for ar_id","319.125","316.278","322.618",NA
NA,NA,"Precision for time","194.844","192.598","197.673",NA
NA,NA,"PACF1 for time","0.973","0.972","0.973",NA
