"n_spp","metric","Parameter","Median","CI_low","CI_high","kld"
5,"FI","Fixed effects",NA,NA,NA,NA
NA,NA,"(Intercept)","2.632","2.541","2.723","0"
NA,NA,"stand_time","-0.041","-0.091","0.008","0"
NA,NA,"stressed1","0.93","0.858","1.003","0"
NA,NA,"ts_length","-0.691","-0.802","-0.581","0"
NA,NA,"search_effort","-0.585","-0.668","-0.503","0"
NA,NA,"stand_time:stressed1","-0.236","-0.306","-0.166","0"
NA,NA,"stand_time:ts_length","0.087","-0.035","0.208","0"
NA,NA,"stressed1:ts_length","3.613","3.456","3.769","0"
NA,NA,"stand_time:search_effort","0.049","-0.031","0.129","0"
NA,NA,"stressed1:search_effort","0.672","0.555","0.789","0"
NA,NA,"ts_length:search_effort","0.146","-0.032","0.324","0"
NA,NA,"stand_time:stressed1:ts_length","-2.642","-2.812","-2.471","0"
NA,NA,"stand_time:stressed1:search_effort","-0.269","-0.381","-0.156","0"
NA,NA,"stand_time:ts_length:search_effort","-0.033","-0.228","0.163","0"
NA,NA,"stressed1:ts_length:search_effort","0.217","-0.034","0.468","0"
NA,NA,"stand_time:stressed1:ts_length:search_effort","-0.459","-0.734","-0.185","0"
NA,NA,"Random effects",NA,NA,NA,NA
NA,NA,"Precision for comm_id","22.918","22.259","23.675",NA
NA,NA,"Precision for ar_id","138.402","135.674","141.251",NA
NA,NA,"Precision for time","0.93","0.922","0.937",NA
NA,NA,"PACF1 for time","0.959","0.959","0.959",NA
