"n_spp","metric","Parameter","Median","CI_low","CI_high","kld"
15,"mean_uniJI","Fixed effects",NA,NA,NA,NA
NA,NA,"(Intercept)","0.436","0.389","0.483","0"
NA,NA,"stand_time","-0.017","-0.022","-0.012","0"
NA,NA,"stressed1","0.017","0.011","0.023","0"
NA,NA,"ts_length","-0.496","-0.505","-0.487","0"
NA,NA,"search_effort","0.004","-0.003","0.01","0"
NA,NA,"stand_time:stressed1","-0.01","-0.017","-0.003","0"
NA,NA,"stand_time:ts_length","0.037","0.025","0.049","0"
NA,NA,"stressed1:ts_length","0.014","0.001","0.026","0"
NA,NA,"stand_time:search_effort","0.014","0.006","0.022","0"
NA,NA,"stressed1:search_effort","0.064","0.054","0.073","0"
NA,NA,"ts_length:search_effort","0.467","0.453","0.481","0"
NA,NA,"stand_time:stressed1:ts_length","0.162","0.145","0.179","0"
NA,NA,"stand_time:stressed1:search_effort","0.002","-0.01","0.013","0"
NA,NA,"stand_time:ts_length:search_effort","-0.034","-0.053","-0.014","0"
NA,NA,"stressed1:ts_length:search_effort","-0.057","-0.077","-0.037","0"
NA,NA,"stand_time:stressed1:ts_length:search_effort","0.048","0.02","0.075","0"
NA,NA,"Random effects",NA,NA,NA,NA
NA,NA,"Precision for comm_id","57.524","46.033","69.495",NA
NA,NA,"Precision for ar_id","139.643","137.878","141.817",NA
NA,NA,"Precision for time","136.251","134.99","137.272",NA
NA,NA,"PACF1 for time","0.964","0.964","0.965",NA
