"n_spp","metric","Parameter","Median","CI_low","CI_high","kld"
25,"FI","Fixed effects",NA,NA,NA,NA
NA,NA,"(Intercept)","1.215","1.162","1.269","0"
NA,NA,"stand_time","-0.001","-0.025","0.022","0"
NA,NA,"stressed1","0.115","0.083","0.148","0"
NA,NA,"ts_length","-1.576","-1.626","-1.526","0"
NA,NA,"search_effort","0.02","-0.018","0.057","0"
NA,NA,"stand_time:stressed1","0.082","0.048","0.115","0"
NA,NA,"stand_time:ts_length","0.006","-0.051","0.063","0"
NA,NA,"stressed1:ts_length","1.987","1.917","2.058","0"
NA,NA,"stand_time:search_effort","-0.006","-0.045","0.032","0"
NA,NA,"stressed1:search_effort","0.3","0.247","0.352","0"
NA,NA,"ts_length:search_effort","0.008","-0.072","0.089","0"
NA,NA,"stand_time:stressed1:ts_length","-0.457","-0.538","-0.376","0"
NA,NA,"stand_time:stressed1:search_effort","0.011","-0.043","0.065","0"
NA,NA,"stand_time:ts_length:search_effort","0.012","-0.08","0.104","0"
NA,NA,"stressed1:ts_length:search_effort","0.209","0.095","0.323","0"
NA,NA,"stand_time:stressed1:ts_length:search_effort","-0.383","-0.513","-0.253","0"
NA,NA,"Random effects",NA,NA,NA,NA
NA,NA,"Precision for comm_id","54.247","39.583","73.685",NA
NA,NA,"Precision for ar_id","30.621","30.47","30.831",NA
NA,NA,"Precision for time","4.752","4.72","4.786",NA
NA,NA,"PACF1 for time","0.962","0.962","0.963",NA
