"n_spp","metric","Parameter","Median","CI_low","CI_high","kld"
15,"FI","Fixed effects",NA,NA,NA,NA
NA,NA,"(Intercept)","1.357","1.282","1.431","0"
NA,NA,"stand_time","0.008","-0.025","0.041","0"
NA,NA,"stressed1","0.765","0.711","0.819","0"
NA,NA,"ts_length","-1.164","-1.246","-1.081","0"
NA,NA,"search_effort","-0.01","-0.071","0.052","0"
NA,NA,"stand_time:stressed1","-0.089","-0.136","-0.043","0"
NA,NA,"stand_time:ts_length","-0.013","-0.095","0.068","0"
NA,NA,"stressed1:ts_length","2.094","1.977","2.21","0"
NA,NA,"stand_time:search_effort","-0.01","-0.063","0.043","0"
NA,NA,"stressed1:search_effort","-0.081","-0.167","0.005","0"
NA,NA,"ts_length:search_effort","-0.07","-0.202","0.063","0"
NA,NA,"stand_time:stressed1:ts_length","-1.054","-1.17","-0.939","0"
NA,NA,"stand_time:stressed1:search_effort","0.058","-0.017","0.133","0"
NA,NA,"stand_time:ts_length:search_effort","0.027","-0.105","0.159","0"
NA,NA,"stressed1:ts_length:search_effort","0.562","0.375","0.749","0"
NA,NA,"stand_time:stressed1:ts_length:search_effort","-0.572","-0.758","-0.387","0"
NA,NA,"Random effects",NA,NA,NA,NA
NA,NA,"Precision for comm_id","30.863","30.339","31.289",NA
NA,NA,"Precision for ar_id","197.843","195.82","199.695",NA
NA,NA,"Precision for time","1.683","1.673","1.691",NA
NA,NA,"PACF1 for time","0.97","0.97","0.971",NA
