"n_spp","metric","Parameter","Median","CI_low","CI_high","kld"
5,"multiAR","Fixed effects",NA,NA,NA,NA
NA,NA,"(Intercept)","-0.63","-0.687","-0.574","0"
NA,NA,"stand_time","-0.014","-0.043","0.015","0"
NA,NA,"stressed1","0.412","0.383","0.442","0"
NA,NA,"ts_length","-1.264","-1.309","-1.219","0"
NA,NA,"search_effort","-0.07","-0.105","-0.034","0"
NA,NA,"stand_time:stressed1","-0.077","-0.116","-0.039","0"
NA,NA,"stand_time:ts_length","0.044","-0.02","0.109","0"
NA,NA,"stressed1:ts_length","0.048","-0.013","0.109","0"
NA,NA,"stand_time:search_effort","-0.01","-0.057","0.037","0"
NA,NA,"stressed1:search_effort","0.164","0.116","0.212","0"
NA,NA,"ts_length:search_effort","0.946","0.874","1.019","0"
NA,NA,"stand_time:stressed1:ts_length","0.9","0.813","0.988","0"
NA,NA,"stand_time:stressed1:search_effort","0.132","0.069","0.195","0"
NA,NA,"stand_time:ts_length:search_effort","0.017","-0.087","0.121","0"
NA,NA,"stressed1:ts_length:search_effort","0.15","0.051","0.248","0"
NA,NA,"stand_time:stressed1:ts_length:search_effort","-0.93","-1.071","-0.789","0"
NA,NA,"Random effects",NA,NA,NA,NA
NA,NA,"Precision for comm_id","46.855","32.225","68.03",NA
NA,NA,"Precision for ar_id","13.06","12.969","13.155",NA
NA,NA,"Precision for time","6.605","6.579","6.625",NA
NA,NA,"PACF1 for time","0.909","0.908","0.909",NA
