"n_spp","metric","Parameter","Median","CI_low","CI_high","kld"
25,"multiJI","Fixed effects",NA,NA,NA,NA
NA,NA,"(Intercept)","1.854","1.679","2.029","0"
NA,NA,"stand_time","0.071","0.006","0.136","0"
NA,NA,"stressed1","-0.043","-0.097","0.011","0"
NA,NA,"ts_length","-1.652","-1.721","-1.582","0"
NA,NA,"search_effort","0.039","-0.022","0.101","0"
NA,NA,"stand_time:stressed1","-0.107","-0.199","-0.015","0"
NA,NA,"stand_time:ts_length","-0.114","-0.234","0.005","0"
NA,NA,"stressed1:ts_length","0.279","0.181","0.378","0"
NA,NA,"stand_time:search_effort","-0.161","-0.265","-0.057","0"
NA,NA,"stressed1:search_effort","0.024","-0.063","0.111","0"
NA,NA,"ts_length:search_effort","0.117","0.005","0.229","0"
NA,NA,"stand_time:stressed1:ts_length","0.199","0.03","0.367","0"
NA,NA,"stand_time:stressed1:search_effort","0.166","0.019","0.314","0"
NA,NA,"stand_time:ts_length:search_effort","0.249","0.057","0.441","0"
NA,NA,"stressed1:ts_length:search_effort","-0.098","-0.256","0.06","0"
NA,NA,"stand_time:stressed1:ts_length:search_effort","-0.266","-0.537","0.005","0"
NA,NA,"Random effects",NA,NA,NA,NA
NA,NA,"Precision for comm_id","4.199","3.301","5.018",NA
NA,NA,"Precision for ar_id","22.543","20.581","25.938",NA
NA,NA,"Precision for time","30.434","28.203","33.485",NA
NA,NA,"PACF1 for time","-1","-1","-1",NA
