"metric","Parameter","Median","CI_low","CI_high","kld"
"max_uniJI","Fixed effects",NA,NA,NA,NA
NA,"(Intercept)","-0.06","-0.536","0.416","0"
NA,"n_spp","0.278","0.249","0.308","0"
NA,"stressed1","0.636","0.436","0.836","0"
NA,"ts_length","-12.009","-12.718","-11.301","0"
NA,"search_effort","0.647","0.409","0.885","0"
NA,"n_spp:stressed1","-0.268","-0.282","-0.253","0"
NA,"n_spp:ts_length","-0.916","-0.969","-0.864","0"
NA,"stressed1:ts_length","9.869","9.144","10.594","0"
NA,"n_spp:search_effort","-0.177","-0.194","-0.16","0"
NA,"stressed1:search_effort","1.255","0.939","1.572","0"
NA,"ts_length:search_effort","2.148","1.265","3.03","0"
NA,"n_spp:stressed1:ts_length","0.868","0.815","0.922","0"
NA,"n_spp:stressed1:search_effort","0.186","0.165","0.208","0"
NA,"n_spp:ts_length:search_effort","1.017","0.956","1.078","0"
NA,"stressed1:ts_length:search_effort","-1.136","-2.077","-0.195","0"
NA,"n_spp:stressed1:ts_length:search_effort","-1.009","-1.074","-0.945","0"
NA,"Random effects",NA,NA,NA,NA
NA,"Precision for comm_id","0.884","0.648","1.171",NA
