community,collapse,stress_param,max_eigval,motif
1,0.0,0.0,-0.05259,1
2,0.0,0.0,-0.02135,1
3,0.0,0.0,-0.03432,1
4,0.0,0.0,-0.11283,1
5,0.0,0.0,0.00848,1
6,0.0,0.0,-0.04056,1
7,0.0,0.0,-0.02416,1
8,1.0,1.02,-0.22027,1
9,0.0,0.0,-0.0602,1
10,0.0,0.0,-0.03548,1
11,0.0,0.0,-0.05291,1
12,0.0,0.0,-0.02857,1
13,0.0,0.0,-0.02985,1
14,0.0,0.0,-0.07769,1
15,0.0,0.0,-0.02669,1
16,0.0,0.0,-0.13623,1
17,0.0,0.0,-0.03804,1
18,0.0,0.0,-0.06126,1
19,0.0,0.0,-0.00973,1
20,0.0,0.0,-0.05425,1
21,0.0,0.0,-0.06483,1
22,0.0,0.0,0.19077,1
23,0.0,0.0,-0.06095,1
24,0.0,0.0,-0.10128,1
25,0.0,0.0,-0.05298,1
26,0.0,0.0,-0.01578,1
27,0.0,0.0,-0.03329,1
28,0.0,0.0,-0.01155,1
29,0.0,0.0,-0.15783,1
30,0.0,0.0,-0.01467,1
31,0.0,0.0,0.16793,1
32,0.0,0.0,-0.07089,1
33,0.0,0.0,-0.02607,1
34,0.0,0.0,-0.03165,1
35,0.0,0.0,-0.03624,1
36,0.0,0.0,-0.03334,1
37,0.0,0.0,-0.04183,1
38,0.0,0.0,-0.03435,1
39,0.0,0.0,-0.04178,1
40,0.0,0.0,-0.05183,1
41,0.0,0.0,-0.02231,1
42,0.0,0.0,-0.04888,1
43,0.0,0.0,-0.04211,1
44,0.0,0.0,-0.14559,1
45,0.0,0.0,-0.12417,1
46,0.0,0.0,-0.02814,1
47,0.0,0.0,-0.03417,1
48,0.0,0.0,-0.01773,1
49,0.0,0.0,-0.02775,1
50,0.0,0.0,0.17881,1
51,0.0,0.0,0.14047,1
52,0.0,0.0,-0.1306,1
53,0.0,0.0,-0.05302,1
54,0.0,0.0,-0.06466,1
55,0.0,0.0,-0.01701,1
56,0.0,0.0,-0.11992,1
57,0.0,0.0,-0.04467,1
58,0.0,0.0,-0.08745,1
59,0.0,0.0,-0.05528,1
60,0.0,0.0,-0.0804,1
61,0.0,0.0,-0.08831,1
62,0.0,0.0,-0.04472,1
63,0.0,0.0,-0.01791,1
64,0.0,0.0,0.1673,1
65,0.0,0.0,-0.03905,1
66,0.0,0.0,-0.07731,1
67,0.0,0.0,-0.04695,1
68,0.0,0.0,-0.0907,1
69,0.0,0.0,-0.02615,1
70,0.0,0.0,-0.08822,1
71,0.0,0.0,0.25141,1
72,0.0,0.0,-0.03661,1
73,0.0,0.0,-0.04634,1
74,0.0,0.0,-0.11647,1
75,0.0,0.0,-0.17693,1
76,0.0,0.0,-0.03443,1
77,0.0,0.0,-0.04279,1
78,0.0,0.0,-0.01929,1
79,0.0,0.0,-0.01832,1
80,0.0,0.0,-0.05276,1
81,0.0,0.0,-0.02585,1
82,0.0,0.0,-0.07356,1
83,0.0,0.0,-0.05178,1
84,0.0,0.0,-0.03988,1
85,0.0,0.0,-0.07406,1
86,0.0,0.0,-0.04274,1
87,0.0,0.0,-0.07266,1
88,0.0,0.0,-0.03415,1
89,0.0,0.0,-0.05741,1
90,0.0,0.0,-0.15749,1
91,0.0,0.0,-0.04902,1
92,0.0,0.0,-0.06942,1
93,0.0,0.0,-0.06038,1
94,0.0,0.0,-0.13347,1
95,0.0,0.0,-0.03979,1
96,0.0,0.0,-0.14471,1
97,0.0,0.0,0.00455,1
98,0.0,0.0,0.02649,1
99,0.0,0.0,0.00425,1
100,0.0,0.0,0.03426,1
