community,collapse,stress_param,max_eigval,motif
1,0.0,0.0,-0.19016,1
2,1.0,0.93,-0.24917,1
3,0.0,0.0,-0.24738,1
4,0.0,0.0,-0.22892,1
5,1.0,1.45,-0.24997,1
6,0.0,NaN,NaN,1
7,1.0,0.43,-0.24212,1
8,1.0,4.22,-0.25,1
9,1.0,2.3,-0.24898,1
10,0.0,0.0,-0.21702,1
11,1.0,0.19,-0.24008,1
12,1.0,0.15,-0.24298,1
13,1.0,0.37,-0.24647,1
14,1.0,0.83,-0.24804,1
15,0.0,0.0,-0.23088,1
16,1.0,2.98,-0.2462,1
17,1.0,1.58,-0.24388,1
18,1.0,2.42,-0.245,1
19,0.0,0.0,-0.24696,1
20,1.0,0.86,-0.24984,1
21,1.0,0.25,-0.244,1
22,1.0,1.26,-0.24992,1
23,0.0,NaN,NaN,1
24,1.0,2.18,-0.24188,1
25,1.0,0.05,-0.24789,1
26,0.0,0.0,-0.23873,1
27,1.0,0.09,-0.24708,1
28,0.0,0.0,-0.23544,1
29,0.0,0.0,-0.2191,1
30,1.0,3.19,-0.24646,1
31,0.0,0.0,-0.23702,1
32,1.0,0.63,-0.24095,1
33,0.0,0.0,-0.15988,1
34,1.0,0.59,-0.24807,1
35,1.0,0.19,-0.24934,1
36,1.0,0.97,-0.24517,1
37,1.0,4.93,-0.24837,1
38,0.0,0.0,-0.20571,1
39,0.0,0.0,-0.19435,1
40,0.0,NaN,NaN,1
41,1.0,0.4,-0.23882,1
42,0.0,0.0,-0.18417,1
43,0.0,0.0,-0.22608,1
44,0.0,0.0,-0.18958,1
45,1.0,0.33,-0.23093,1
46,1.0,0.75,-0.24258,1
47,0.0,0.0,-0.22073,1
48,0.0,0.0,-0.18719,1
49,0.0,0.0,-0.17082,1
50,0.0,0.0,-0.19058,1
51,0.0,0.0,-0.23683,1
52,1.0,2.37,-0.24187,1
53,0.0,0.0,-0.13245,1
54,0.0,0.0,-0.20283,1
55,1.0,0.34,-0.22731,1
56,1.0,2.81,-0.24339,1
57,1.0,0.19,-0.21348,1
58,0.0,0.0,-0.19209,1
59,0.0,0.0,-0.24025,1
60,1.0,0.08,-0.24885,1
61,1.0,4.72,-0.24907,1
62,1.0,0.51,-0.24939,1
63,0.0,0.0,-0.17487,1
64,0.0,NaN,NaN,1
65,0.0,0.0,-0.2249,1
66,0.0,0.0,-0.2364,1
67,1.0,1.01,-0.24297,1
68,0.0,0.0,-0.23045,1
69,1.0,2.0,-0.24991,1
70,0.0,0.0,-0.20267,1
71,0.0,0.0,-0.19826,1
72,0.0,0.0,-0.13406,1
73,1.0,0.56,-0.24919,1
74,0.0,0.0,-0.18565,1
75,0.0,0.0,-0.18628,1
76,0.0,0.0,-0.20036,1
77,0.0,0.0,-0.19004,1
78,1.0,0.73,-0.24886,1
79,0.0,0.0,-0.21863,1
80,0.0,0.0,-0.24741,1
81,0.0,0.0,-0.18164,1
82,0.0,0.0,-0.20956,1
83,0.0,0.0,-0.2155,1
84,1.0,0.29,-0.24343,1
85,0.0,0.0,-0.21136,1
86,0.0,0.0,-0.22478,1
87,0.0,0.0,-0.19884,1
88,0.0,0.0,-0.17203,1
89,1.0,4.61,-0.24907,1
90,0.0,0.0,-0.21279,1
91,1.0,0.29,-0.24006,1
92,0.0,0.0,-0.17131,1
93,1.0,4.27,-0.24146,1
94,0.0,0.0,-0.18958,1
95,0.0,0.0,-0.11404,1
96,0.0,0.0,-0.21559,1
97,1.0,0.43,-0.22595,1
98,0.0,0.0,-0.22621,1
99,0.0,0.0,-0.16658,1
100,1.0,2.9,-0.24887,1
1,0.0,0.0,-0.18707,2
2,0.0,NaN,NaN,2
3,1.0,0.88,-0.24987,2
4,0.0,NaN,NaN,2
5,0.0,0.0,-0.24613,2
6,0.0,0.0,-0.22999,2
7,0.0,0.0,-0.18868,2
8,0.0,0.0,-0.16852,2
9,0.0,NaN,NaN,2
10,1.0,0.29,-0.24758,2
11,0.0,0.0,-0.18822,2
12,0.0,NaN,NaN,2
13,0.0,0.0,-0.15614,2
14,0.0,0.0,-0.19011,2
15,0.0,0.0,-0.1974,2
16,0.0,NaN,NaN,2
17,0.0,0.0,-0.2359,2
18,0.0,0.0,-0.13199,2
19,0.0,0.0,-0.2072,2
20,0.0,0.0,-0.22767,2
21,0.0,NaN,NaN,2
22,0.0,NaN,NaN,2
23,0.0,NaN,NaN,2
24,0.0,NaN,NaN,2
25,0.0,NaN,NaN,2
26,0.0,NaN,NaN,2
27,0.0,0.0,-0.12084,2
28,0.0,0.0,-0.22952,2
29,1.0,0.12,-0.24877,2
30,0.0,0.0,-0.19963,2
31,0.0,0.0,-0.22162,2
32,0.0,NaN,NaN,2
33,0.0,NaN,NaN,2
34,0.0,NaN,NaN,2
35,0.0,NaN,NaN,2
36,0.0,0.0,-0.23405,2
37,0.0,NaN,NaN,2
38,0.0,NaN,NaN,2
39,0.0,NaN,NaN,2
40,0.0,NaN,NaN,2
41,0.0,NaN,NaN,2
42,0.0,0.0,-0.19219,2
43,0.0,NaN,NaN,2
44,0.0,0.0,-0.23446,2
45,1.0,0.3,-0.24981,2
46,0.0,NaN,NaN,2
47,0.0,NaN,NaN,2
48,0.0,0.0,-0.2314,2
49,0.0,0.0,-0.23699,2
50,0.0,0.0,-0.2457,2
51,0.0,NaN,NaN,2
52,0.0,0.0,-0.2275,2
53,0.0,NaN,NaN,2
54,0.0,NaN,NaN,2
55,0.0,NaN,NaN,2
56,0.0,0.0,-0.18846,2
57,0.0,0.0,-0.16431,2
58,0.0,0.0,-0.17642,2
59,0.0,NaN,NaN,2
60,0.0,NaN,NaN,2
61,0.0,0.0,-0.23074,2
62,1.0,0.04,-0.2498,2
63,0.0,0.0,-0.09743,2
64,0.0,NaN,NaN,2
65,0.0,0.0,-0.18915,2
66,0.0,0.0,-0.23225,2
67,0.0,NaN,NaN,2
68,0.0,0.0,-0.23136,2
69,1.0,0.29,-0.24827,2
70,0.0,0.0,-0.22714,2
71,0.0,0.0,-0.23159,2
72,0.0,0.0,-0.21479,2
73,0.0,NaN,NaN,2
74,1.0,0.32,-0.2343,2
75,0.0,0.0,-0.07014,2
76,0.0,0.0,-0.23831,2
77,0.0,NaN,NaN,2
78,0.0,NaN,NaN,2
79,0.0,0.0,-0.24358,2
80,0.0,0.0,-0.2263,2
81,0.0,0.0,-0.19785,2
82,0.0,0.0,-0.22288,2
83,0.0,0.0,-0.11989,2
84,1.0,2.47,-0.24931,2
85,0.0,NaN,NaN,2
86,0.0,NaN,NaN,2
87,0.0,0.0,-0.23506,2
88,0.0,NaN,NaN,2
89,0.0,0.0,-0.17505,2
90,0.0,NaN,NaN,2
91,0.0,0.0,-0.22902,2
92,0.0,0.0,-0.12565,2
93,0.0,0.0,-0.23921,2
94,0.0,0.0,-0.20384,2
95,0.0,NaN,NaN,2
96,1.0,0.46,-0.2475,2
97,0.0,NaN,NaN,2
98,0.0,0.0,-0.23333,2
99,0.0,0.0,-0.18697,2
100,0.0,0.0,-0.24023,2
1,1.0,2.87,-0.2493,6
2,0.0,NaN,NaN,6
3,0.0,NaN,NaN,6
4,0.0,NaN,NaN,6
5,0.0,0.0,-0.21346,6
6,0.0,0.0,-0.24526,6
7,0.0,NaN,NaN,6
8,0.0,0.0,-0.18368,6
9,0.0,0.0,-0.24068,6
10,0.0,0.0,-0.09344,6
11,0.0,NaN,NaN,6
12,0.0,0.0,-0.23914,6
13,1.0,0.74,-0.24704,6
14,0.0,0.0,-0.21867,6
15,0.0,0.0,-0.21109,6
16,0.0,NaN,NaN,6
17,0.0,0.0,-0.24215,6
18,0.0,0.0,-0.24087,6
19,0.0,NaN,NaN,6
20,0.0,NaN,NaN,6
21,0.0,0.0,-0.2314,6
22,0.0,0.0,-0.21341,6
23,0.0,NaN,NaN,6
24,1.0,0.1,-0.24978,6
25,1.0,1.22,-0.25,6
26,0.0,0.0,-0.23221,6
27,1.0,1.95,-0.24485,6
28,1.0,0.1,-0.24979,6
29,0.0,0.0,-0.19467,6
30,0.0,0.0,-0.18965,6
31,0.0,NaN,NaN,6
32,0.0,NaN,NaN,6
33,0.0,NaN,NaN,6
34,0.0,0.0,-0.17354,6
35,0.0,0.0,-0.24744,6
36,0.0,0.0,-0.08976,6
37,0.0,NaN,NaN,6
38,0.0,0.0,-0.10541,6
39,1.0,0.28,-0.24591,6
40,0.0,0.0,-0.1769,6
41,0.0,0.0,-0.2059,6
42,1.0,0.51,-0.24925,6
43,0.0,NaN,NaN,6
44,0.0,NaN,NaN,6
45,0.0,NaN,NaN,6
46,0.0,0.0,-0.203,6
47,0.0,NaN,NaN,6
48,0.0,0.0,-0.1554,6
