community,collapse,stress_param,max_eigval,motif
1,1.0,0.54,-0.00097,1
2,1.0,0.59,-0.00099,1
3,1.0,0.55,-0.001,1
4,1.0,0.49,-0.00093,1
5,1.0,0.54,-0.00094,1
6,1.0,0.52,-0.00093,1
7,1.0,0.5,-0.00074,1
8,1.0,0.53,-0.00097,1
9,1.0,0.54,-0.0009,1
10,1.0,0.54,-0.00086,1
11,1.0,0.49,-0.00094,1
12,1.0,0.63,-0.00093,1
13,1.0,0.5,-0.00081,1
14,1.0,0.51,-0.00079,1
15,1.0,0.54,-0.00092,1
16,1.0,0.54,-0.00097,1
17,1.0,0.51,-0.00084,1
18,1.0,0.6,-0.00094,1
19,1.0,0.54,-0.00099,1
20,1.0,0.52,-0.00094,1
21,1.0,0.52,-0.00092,1
22,1.0,0.61,-0.00097,1
23,1.0,0.51,-0.00087,1
24,1.0,0.52,-0.00096,1
25,1.0,0.52,-0.00082,1
26,1.0,0.56,-0.00088,1
27,1.0,0.56,-0.00091,1
28,1.0,0.52,-0.00099,1
29,1.0,0.52,-0.001,1
30,1.0,0.51,-0.00085,1
31,1.0,0.61,-0.00098,1
32,1.0,0.57,-0.00096,1
33,1.0,0.52,-0.00091,1
34,1.0,0.52,-0.00087,1
35,1.0,0.51,-0.00099,1
36,1.0,0.52,-0.00087,1
37,1.0,0.55,-0.0009,1
38,1.0,0.5,-0.00086,1
39,1.0,0.5,-0.00077,1
40,1.0,0.51,-0.001,1
41,1.0,0.52,-0.00096,1
42,1.0,0.51,-0.00086,1
43,1.0,0.5,-0.00098,1
44,1.0,0.56,-0.00092,1
45,1.0,0.6,-0.00097,1
46,1.0,0.55,-0.00099,1
47,1.0,0.49,-0.00094,1
48,1.0,0.5,-0.00091,1
49,1.0,0.52,-0.00089,1
50,1.0,0.53,-0.00087,1
51,1.0,0.52,-0.00091,1
52,1.0,0.55,-0.00099,1
53,1.0,0.53,-0.00091,1
54,1.0,0.51,-0.00088,1
55,1.0,0.53,-0.0009,1
56,1.0,0.54,-0.00093,1
57,1.0,0.54,-0.00096,1
58,1.0,0.56,-0.0009,1
59,1.0,0.5,-0.00095,1
60,1.0,0.51,-0.00094,1
61,1.0,0.53,-0.00099,1
62,1.0,0.49,-0.00093,1
63,1.0,0.61,-0.00096,1
64,1.0,0.5,-0.00084,1
65,1.0,0.52,-0.0008,1
66,1.0,0.54,-0.00089,1
67,1.0,0.5,-0.0008,1
68,1.0,0.56,-0.0009,1
69,1.0,0.53,-0.00085,1
70,1.0,0.52,-0.00086,1
71,1.0,0.55,-0.00095,1
72,1.0,0.56,-0.00097,1
73,1.0,0.51,-0.00089,1
74,1.0,0.5,-0.00087,1
75,1.0,0.52,-0.00088,1
76,1.0,0.54,-0.00092,1
77,1.0,0.62,-0.00093,1
78,1.0,0.52,-0.00098,1
79,1.0,0.55,-0.00092,1
80,1.0,0.5,-0.00095,1
81,1.0,0.5,-0.00076,1
82,1.0,0.51,-0.00096,1
83,1.0,0.49,-0.00096,1
84,1.0,0.53,-0.00089,1
85,1.0,0.55,-0.00095,1
86,1.0,0.5,-0.00098,1
87,1.0,0.54,-0.00089,1
88,1.0,0.5,-0.00089,1
89,1.0,0.49,-0.00088,1
90,1.0,0.56,-0.00094,1
91,1.0,0.52,-0.00088,1
92,1.0,0.59,-0.00093,1
93,1.0,0.53,-0.00099,1
94,1.0,0.56,-0.00099,1
95,1.0,0.52,-0.00091,1
96,1.0,0.54,-0.0009,1
97,1.0,0.52,-0.00085,1
98,1.0,0.52,-0.00085,1
99,1.0,0.5,-0.00099,1
100,1.0,0.56,-0.00096,1
1,1.0,0.49,-0.00098,2
2,1.0,0.51,-0.00092,2
3,1.0,0.7,-0.00099,2
4,1.0,0.6,-0.00098,2
5,1.0,0.56,-0.00094,2
6,1.0,0.55,-0.00099,2
7,1.0,0.5,-0.00088,2
8,1.0,0.56,-0.00092,2
9,1.0,0.5,-0.00096,2
10,1.0,0.5,-0.00095,2
11,1.0,0.69,-0.00098,2
12,1.0,0.69,-0.00095,2
13,1.0,0.47,-0.00084,2
14,1.0,0.59,-0.00096,2
15,1.0,0.59,-0.00097,2
16,1.0,0.56,-0.00098,2
17,1.0,0.65,-0.00098,2
18,1.0,0.67,-0.00097,2
19,1.0,0.69,-0.00098,2
20,1.0,0.48,-0.00094,2
21,1.0,0.5,-0.00098,2
22,1.0,0.57,-0.00092,2
23,1.0,0.63,-0.00099,2
24,1.0,0.59,-0.00091,2
25,1.0,0.55,-0.00089,2
26,1.0,0.54,-0.00086,2
27,1.0,0.49,-0.00088,2
28,1.0,0.57,-0.001,2
29,1.0,0.63,-0.00097,2
30,1.0,0.56,-0.00095,2
31,1.0,0.47,-0.00081,2
32,1.0,0.63,-0.00096,2
33,1.0,0.56,-0.00092,2
34,1.0,0.67,-0.00093,2
35,1.0,0.48,-0.00098,2
36,1.0,0.81,-0.00097,2
37,1.0,0.47,-0.0008,2
38,1.0,0.48,-0.00094,2
39,1.0,0.52,-0.00086,2
40,1.0,0.74,-0.00098,2
41,1.0,0.54,-0.00088,2
42,1.0,0.66,-0.00096,2
43,1.0,0.64,-0.00096,2
44,1.0,0.55,-0.00092,2
45,1.0,0.55,-0.00087,2
46,1.0,0.66,-0.00098,2
47,1.0,0.62,-0.001,2
48,1.0,0.61,-0.0009,2
49,1.0,0.58,-0.0009,2
50,1.0,0.62,-0.00098,2
51,1.0,0.53,-0.00095,2
52,1.0,0.62,-0.00098,2
53,1.0,0.55,-0.00093,2
54,1.0,0.63,-0.00097,2
55,1.0,0.51,-0.00089,2
56,1.0,0.66,-0.00095,2
57,1.0,0.63,-0.001,2
58,1.0,0.58,-0.00097,2
