community,collapse,stress_param,max_eigval,motif
56,1.0,0.74,-0.00097,2
57,1.0,0.74,-0.00099,2
58,1.0,0.58,-0.00098,2
59,1.0,0.87,-0.00097,2
60,1.0,0.45,-0.00077,2
61,1.0,0.9,-0.00099,2
62,1.0,0.45,-0.00082,2
63,1.0,0.5,-0.00095,2
64,1.0,0.51,-0.0009,2
65,1.0,0.58,-0.00097,2
66,1.0,0.44,-0.00099,2
67,1.0,0.48,-0.00094,2
68,1.0,0.48,-0.0009,2
69,1.0,0.63,-0.0009,2
70,1.0,0.43,-0.00087,2
71,1.0,0.37,-0.00086,2
72,1.0,0.58,-0.00098,2
73,1.0,0.43,-0.00066,2
74,1.0,0.7,-0.00099,2
75,1.0,0.37,-0.00094,2
76,1.0,0.46,-0.0009,2
77,1.0,0.57,-0.00093,2
78,1.0,0.54,-0.00094,2
79,1.0,0.44,-0.00089,2
80,1.0,0.97,-0.00096,2
81,1.0,0.41,-0.00096,2
82,1.0,0.55,-0.00096,2
83,1.0,0.33,-0.00043,2
84,1.0,0.83,-0.00092,2
85,1.0,0.58,-0.00096,2
86,1.0,0.42,-0.00086,2
87,1.0,0.75,-0.00098,2
88,1.0,0.4,-0.00093,2
89,1.0,0.49,-0.001,2
90,1.0,0.5,-0.00096,2
91,1.0,0.39,-0.00089,2
92,1.0,0.43,-0.00088,2
93,1.0,0.44,-0.00089,2
94,1.0,0.66,-0.00092,2
95,1.0,0.69,-0.001,2
96,1.0,0.34,-0.00041,2
97,1.0,0.34,-0.00087,2
98,1.0,0.39,-0.00079,2
99,1.0,0.45,-0.00082,2
100,1.0,0.91,-0.00095,2
1,1.0,0.47,-0.00095,6
2,1.0,0.72,-0.00098,6
3,1.0,0.46,-0.00098,6
4,1.0,0.47,-0.00092,6
5,1.0,0.24,-0.001,6
6,1.0,0.35,-0.00068,6
7,1.0,0.64,-0.00098,6
8,1.0,0.51,-0.00094,6
9,1.0,0.49,-0.00099,6
10,1.0,0.35,-0.00081,6
11,1.0,0.69,-0.00096,6
12,1.0,0.34,-0.00085,6
13,1.0,0.42,-0.00091,6
14,1.0,0.71,-0.00098,6
15,1.0,0.61,-0.00096,6
16,1.0,0.56,-0.00094,6
17,1.0,0.36,-0.00075,6
18,1.0,0.56,-0.00095,6
19,1.0,0.43,-0.0009,6
20,1.0,0.35,-0.0008,6
21,1.0,0.39,-0.00075,6
22,1.0,0.39,-0.00099,6
23,1.0,0.73,-0.00099,6
24,1.0,0.38,-0.00098,6
25,1.0,0.4,-0.00087,6
26,1.0,0.53,-0.00096,6
27,1.0,0.8,-0.00099,6
28,1.0,0.46,-0.00096,6
29,1.0,0.6,-0.00097,6
30,1.0,0.43,-0.00088,6
31,1.0,0.31,-0.00071,6
32,1.0,0.68,-0.00098,6
33,1.0,0.4,-0.0009,6
34,1.0,0.36,-0.00081,6
35,1.0,0.62,-0.00096,6
36,1.0,0.48,-0.00094,6
37,1.0,0.33,-0.00098,6
38,1.0,0.53,-0.00099,6
39,1.0,0.35,-0.00061,6
40,1.0,0.39,-0.00095,6
41,1.0,0.81,-0.00098,6
42,1.0,0.6,-0.00099,6
43,1.0,0.38,-0.00085,6
44,1.0,0.37,-0.00083,6
45,1.0,0.38,-0.00094,6
46,1.0,0.16,-0.00086,6
47,1.0,0.57,-0.00095,6
48,1.0,0.32,-0.00093,6
49,1.0,0.39,-0.00087,6
50,1.0,0.37,-0.00096,6
51,1.0,0.67,-0.001,6
52,1.0,0.45,-0.00082,6
53,1.0,0.35,-0.00079,6
54,1.0,0.46,-0.00086,6
55,1.0,0.44,-0.0009,6
56,1.0,0.76,-0.00095,6
57,1.0,0.85,-0.001,6
58,1.0,0.45,-0.00097,6
59,1.0,0.59,-0.00097,6
60,1.0,0.37,-0.0008,6
61,1.0,0.42,-0.00073,6
62,1.0,0.41,-0.00096,6
63,1.0,0.79,-0.00095,6
64,1.0,0.4,-0.00097,6
65,1.0,0.59,-0.00099,6
66,1.0,0.41,-0.00093,6
67,1.0,0.7,-0.00099,6
68,1.0,0.43,-0.00081,6
69,1.0,0.38,-0.0008,6
70,1.0,0.52,-0.00095,6
71,1.0,0.7,-0.00098,6
72,1.0,0.47,-0.00077,6
73,1.0,0.53,-0.00089,6
74,1.0,0.36,-0.0008,6
75,1.0,0.66,-0.00094,6
76,1.0,0.53,-0.00092,6
77,1.0,0.74,-0.00095,6
78,1.0,0.56,-0.00094,6
79,1.0,0.34,-0.00036,6
80,1.0,0.62,-0.00099,6
81,1.0,0.35,-0.00089,6
82,1.0,0.56,-0.00088,6
83,1.0,0.52,-0.00093,6
84,1.0,0.44,-0.00066,6
85,1.0,0.45,-0.00095,6
86,1.0,0.77,-0.00093,6
87,1.0,0.45,-0.00092,6
88,1.0,0.36,-0.00048,6
89,1.0,0.5,-0.00095,6
90,1.0,0.92,-0.00096,6
91,1.0,0.51,-0.00092,6
92,1.0,0.53,-0.00081,6
93,1.0,0.48,-0.00089,6
94,1.0,0.41,-0.00089,6
95,1.0,0.63,-0.00094,6
96,1.0,0.77,-0.00099,6
97,1.0,0.54,-0.00096,6
98,1.0,0.42,-0.00088,6
99,1.0,0.49,-0.00091,6
100,1.0,0.64,-0.00096,6
1,1.0,0.42,-0.00097,9
2,1.0,0.68,-0.00099,9
3,1.0,0.37,-0.00091,9
4,1.0,0.69,-0.00098,9
5,1.0,0.16,-0.00094,9
6,1.0,0.54,-0.00086,9
7,1.0,0.19,-0.00091,9
8,1.0,0.46,-0.00087,9
9,1.0,1.02,-0.00098,9
10,1.0,0.62,-0.00098,9
11,1.0,0.46,-0.00081,9
12,1.0,0.51,-0.00094,9
13,1.0,0.37,-0.00089,9
14,1.0,0.36,-0.00095,9
15,1.0,0.6,-0.00073,9
16,1.0,0.36,-0.00077,9
17,1.0,0.67,-0.00021,9
18,1.0,0.36,-0.00071,9
19,1.0,0.35,-0.00094,9
20,1.0,0.97,-0.00097,9
21,1.0,0.32,-0.00077,9
22,1.0,0.94,-0.001,9
23,1.0,0.57,-0.00047,9
24,1.0,0.54,-0.00079,9
25,1.0,0.47,0.0,9
26,1.0,0.41,-0.00028,9
27,1.0,0.42,-0.0005,9
28,1.0,0.54,-0.00076,9
29,1.0,0.48,-0.00092,9
30,1.0,0.44,-0.00095,9
31,1.0,0.62,-0.0008,9
32,1.0,0.9,-0.00096,9
33,1.0,0.42,-0.00077,9
34,1.0,0.35,-0.00083,9
35,1.0,0.34,-0.00041,9
36,1.0,0.52,-0.00075,9
37,1.0,0.67,-0.00095,9
38,1.0,0.44,-0.00091,9
39,1.0,0.5,-0.00082,9
40,1.0,0.77,-0.00069,9
41,1.0,0.55,-0.00094,9
42,1.0,0.41,-0.00076,9
43,1.0,0.36,-0.00089,9
44,1.0,0.47,-0.00099,9
45,1.0,0.4,-0.00087,9
46,1.0,0.36,-0.00061,9
47,1.0,0.34,-0.00018,9
48,1.0,0.69,-0.00096,9
49,1.0,0.36,-0.00066,9
50,1.0,0.37,-0.00088,9
51,1.0,0.99,-0.00097,9
52,1.0,0.36,-0.00062,9
53,1.0,0.76,-0.00099,9
54,1.0,0.42,-0.0009,9
55,1.0,0.43,-0.00088,9
56,1.0,0.51,-5.0e-5,9
57,1.0,0.36,-0.00097,9
58,1.0,1.09,-0.001,9
59,1.0,0.6,-0.00095,9
60,1.0,0.57,-0.00099,9
61,1.0,0.54,-0.00093,9
62,1.0,0.76,-0.00092,9
63,1.0,0.43,-0.00073,9
64,1.0,0.47,-0.00078,9
65,1.0,0.4,-0.00074,9
66,1.0,0.73,-0.0009,9
67,1.0,0.86,-0.00087,9
68,1.0,0.1,-0.00084,9
69,1.0,0.2,-0.00098,9
70,1.0,0.54,-0.00093,9
71,1.0,0.56,-0.00093,9
72,1.0,0.68,-0.00096,9
73,1.0,0.4,-0.00055,9
74,1.0,0.68,-0.00095,9
75,1.0,0.4,-0.00051,9
76,1.0,0.24,-0.00092,9
77,1.0,0.7,-0.00075,9
78,1.0,0.58,-0.001,9
79,1.0,0.15,-0.00098,9
80,1.0,0.58,-0.00094,9
81,1.0,0.39,-0.00078,9
82,1.0,0.75,-0.00084,9
83,1.0,0.7,-0.00055,9
84,1.0,0.34,-0.00089,9
85,1.0,0.56,-0.00093,9
86,1.0,0.36,-0.00054,9
87,1.0,0.48,-0.00099,9
88,1.0,0.81,-0.00099,9
89,1.0,0.38,-0.00092,9
90,1.0,0.46,-0.00088,9
91,1.0,0.37,-0.00076,9
92,1.0,0.36,-0.00077,9
93,1.0,0.35,-0.00092,9
94,1.0,0.4,-0.0007,9
95,1.0,0.88,-0.001,9
96,1.0,0.96,-0.00096,9
97,1.0,0.81,-0.00098,9
98,1.0,0.6,-0.00091,9
99,1.0,0.64,-0.00045,9
100,1.0,0.68,-0.00096,9
1,1.0,0.54,-0.00092,10
2,1.0,0.18,-0.00092,10
3,1.0,0.18,-0.0009,10
4,1.0,0.18,-0.00088,10
5,1.0,0.18,-0.00085,10
6,1.0,0.38,-0.00082,10
7,1.0,0.48,-0.00085,10
8,1.0,0.36,-0.00052,10
9,1.0,0.51,-0.00093,10
10,1.0,0.41,-0.00052,10
11,1.0,0.36,-0.00096,10
12,1.0,0.35,-0.00071,10
13,1.0,0.49,-0.00089,10
14,1.0,0.4,-0.00098,10
15,1.0,0.61,-0.00095,10
16,1.0,0.46,-0.00098,10
17,1.0,0.4,-0.00051,10
18,1.0,0.18,-0.00091,10
19,1.0,0.69,-0.00098,10
20,1.0,0.34,-0.00049,10
21,1.0,0.43,-0.00081,10
22,1.0,0.43,-0.00048,10
23,1.0,0.18,-0.00088,10
24,1.0,0.5,-0.00096,10
25,1.0,1.13,-0.001,10
26,1.0,0.93,-0.00099,10
27,1.0,0.78,-0.00093,10
28,1.0,0.16,-0.00092,10
29,1.0,0.76,-0.00095,10
30,1.0,0.18,-0.00092,10
31,1.0,0.89,-0.00098,10
32,1.0,0.43,-0.00088,10
33,1.0,1.05,-0.00099,10
34,1.0,0.91,-0.00098,10
35,1.0,0.18,-0.00086,10
36,1.0,0.49,-0.00091,10
37,1.0,0.33,-0.00053,10
38,1.0,0.96,-0.00098,10
39,1.0,0.76,-0.00095,10
40,1.0,0.95,-0.00098,10
41,1.0,0.52,-0.00096,10
42,1.0,0.58,-0.00093,10
43,1.0,0.88,-0.00097,10
44,1.0,0.51,-0.0007,10
45,1.0,0.45,-0.00089,10
46,1.0,0.52,-0.00097,10
47,1.0,0.58,-0.00073,10
48,1.0,0.46,-0.00097,10
49,1.0,0.17,-0.00082,10
50,1.0,0.54,-0.00093,10
51,1.0,0.4,-0.0009,10
52,1.0,0.84,-0.00098,10
53,1.0,0.41,-0.0008,10
54,1.0,0.6,-0.00089,10
55,1.0,0.43,-0.00077,10
56,1.0,0.55,-0.00096,10
57,1.0,0.64,-0.00097,10
58,1.0,0.45,-0.00073,10
59,1.0,0.57,-0.00096,10
60,1.0,0.91,-0.00095,10
61,1.0,0.54,-0.00098,10
62,1.0,0.18,-0.00093,10
63,1.0,0.17,-0.00087,10
64,1.0,0.36,-0.00079,10
65,1.0,0.4,-0.00062,10
66,1.0,0.4,-0.00073,10
67,1.0,0.37,-0.00089,10
68,1.0,0.17,-0.00099,10
69,1.0,0.6,-0.00078,10
70,1.0,0.67,-0.00076,10
71,1.0,0.61,-0.00093,10
72,1.0,0.5,-0.00069,10
73,1.0,0.41,-0.00086,10
74,1.0,0.63,-0.00094,10
75,1.0,0.56,-0.00095,10
76,1.0,0.48,-0.00094,10
77,1.0,0.56,-0.00089,10
78,1.0,0.5,-0.00091,10
79,1.0,0.37,-0.00062,10
80,1.0,0.18,-0.00094,10
81,1.0,0.57,-0.00098,10
82,1.0,0.38,-0.00084,10
83,1.0,0.83,-0.00068,10
84,1.0,0.68,-0.00099,10
85,1.0,0.68,-0.00096,10
86,1.0,0.38,-0.00086,10
87,1.0,0.18,-0.00095,10
88,1.0,0.56,-0.00099,10
89,1.0,0.58,-0.00099,10
90,1.0,0.4,-0.00081,10
91,1.0,0.35,-0.0009,10
92,1.0,0.58,-0.00096,10
93,1.0,1.08,-0.00096,10
94,1.0,0.32,-0.00051,10
95,1.0,0.43,-0.00096,10
96,1.0,0.69,-0.00096,10
97,1.0,0.69,-0.00095,10
98,1.0,0.87,-0.00099,10
99,1.0,0.45,-0.001,10
100,1.0,0.38,-0.00092,10
