community,collapse,stress_param,max_eigval,motif
1,0.0,0.0,-0.122,1
2,0.0,0.0,-0.05759,1
3,0.0,0.0,-0.18415,1
4,0.0,0.0,-0.00716,1
5,0.0,0.0,-0.15555,1
6,1.0,0.84,-0.24989,1
7,0.0,0.0,-0.05944,1
8,0.0,0.0,-0.0608,1
9,0.0,0.0,-0.06781,1
10,0.0,0.0,-0.1249,1
11,0.0,0.0,-0.04973,1
12,0.0,0.0,-0.2348,1
13,0.0,0.0,-0.04579,1
14,0.0,0.0,-0.0766,1
15,0.0,0.0,-0.02645,1
16,1.0,1.51,-0.24269,1
17,0.0,0.0,-0.24578,1
18,0.0,0.0,-0.22763,1
19,0.0,0.0,-0.04802,1
20,0.0,0.0,-0.15402,1
21,0.0,0.0,-0.1439,1
22,0.0,0.0,-0.10095,1
23,0.0,0.0,-0.09951,1
24,1.0,0.38,-0.24611,1
25,0.0,0.0,-0.08965,1
26,1.0,0.72,-0.24209,1
27,0.0,0.0,-0.03693,1
28,0.0,0.0,-0.05543,1
29,0.0,0.0,-0.09524,1
30,0.0,0.0,-0.15394,1
31,0.0,0.0,-0.02652,1
32,0.0,0.0,-0.17583,1
33,0.0,0.0,-0.00138,1
34,0.0,0.0,-0.14135,1
35,1.0,2.57,-0.24952,1
36,0.0,0.0,-0.08229,1
37,1.0,0.47,-0.18295,1
38,1.0,1.88,-0.23497,1
39,1.0,0.58,-0.1521,1
40,0.0,0.0,-0.04491,1
41,0.0,0.0,-0.20427,1
42,1.0,0.38,-0.21169,1
43,0.0,0.0,-0.24814,1
44,0.0,0.0,-0.10225,1
45,0.0,0.0,-0.15944,1
46,0.0,0.0,-0.01455,1
47,1.0,0.6,-0.12954,1
48,1.0,0.68,-0.24233,1
49,0.0,0.0,-0.10008,1
50,0.0,0.0,-0.13718,1
51,0.0,0.0,-0.02662,1
52,0.0,0.0,-0.06207,1
53,0.0,0.0,-0.12099,1
54,1.0,0.15,-0.2475,1
55,0.0,0.0,-0.04903,1
56,1.0,0.84,-0.19341,1
57,1.0,3.06,-0.24905,1
58,0.0,0.0,-0.09807,1
59,0.0,0.0,-0.15602,1
60,1.0,0.43,-0.24622,1
61,0.0,0.0,-0.06808,1
62,0.0,NaN,NaN,1
63,0.0,0.0,-0.10484,1
64,1.0,3.13,-0.24776,1
65,0.0,0.0,-0.01514,1
66,0.0,0.0,-0.04556,1
67,0.0,0.0,0.00157,1
68,0.0,0.0,-0.22896,1
69,0.0,0.0,-0.11491,1
70,0.0,0.0,-0.09124,1
71,0.0,0.0,-0.18789,1
72,0.0,0.0,-0.22708,1
73,0.0,0.0,-0.13681,1
74,0.0,0.0,-0.20859,1
75,0.0,0.0,-0.17491,1
76,1.0,0.88,-0.2216,1
77,0.0,0.0,-0.04846,1
78,0.0,0.0,-0.03234,1
79,0.0,0.0,-0.03857,1
80,1.0,1.47,-0.1256,1
81,0.0,0.0,-0.14344,1
82,1.0,0.38,-0.24714,1
83,0.0,0.0,-0.19723,1
84,0.0,0.0,-0.22161,1
85,0.0,0.0,-0.11831,1
86,0.0,0.0,-0.06406,1
87,0.0,0.0,-0.07939,1
88,0.0,0.0,-0.08193,1
89,1.0,0.27,-0.24952,1
90,0.0,0.0,-0.24555,1
91,0.0,0.0,-0.1197,1
92,0.0,0.0,-0.14529,1
93,0.0,0.0,-0.04691,1
94,0.0,0.0,-0.04064,1
95,1.0,1.65,-0.24999,1
96,1.0,1.53,-0.24708,1
97,0.0,0.0,-0.09584,1
98,0.0,0.0,-0.03124,1
99,0.0,0.0,-0.07028,1
100,0.0,0.0,-0.18251,1
