community,collapse,stress_param,max_eigval,motif
77,0.0,0.0,-0.16474,2
78,0.0,0.0,-0.18959,2
79,0.0,0.0,-0.20305,2
80,1.0,1.84,-0.24967,2
81,0.0,0.0,-0.21653,2
82,0.0,0.0,-0.16113,2
83,0.0,0.0,-0.17358,2
84,0.0,0.0,-0.1339,2
85,0.0,0.0,-0.18894,2
86,0.0,0.0,-0.14052,2
87,0.0,NaN,NaN,2
88,0.0,0.0,-0.16528,2
89,0.0,0.0,-0.22437,2
90,0.0,0.0,-0.18615,2
91,0.0,0.0,-0.15947,2
92,0.0,0.0,-0.15544,2
93,0.0,0.0,-0.21116,2
94,0.0,0.0,-0.20197,2
95,0.0,0.0,-0.20812,2
96,0.0,0.0,-0.18665,2
97,0.0,0.0,-0.09505,2
98,0.0,0.0,-0.16989,2
99,0.0,0.0,-0.21822,2
100,0.0,0.0,-0.17419,2
1,0.0,0.0,-0.18686,6
2,0.0,0.0,-0.17542,6
3,1.0,0.25,-0.2493,6
4,0.0,0.0,-0.18235,6
5,0.0,0.0,-0.18288,6
6,0.0,0.0,-0.14764,6
7,0.0,0.0,-0.17692,6
8,0.0,0.0,-0.17829,6
9,0.0,0.0,-0.09803,6
10,0.0,0.0,-0.19552,6
11,0.0,0.0,-0.16787,6
12,0.0,0.0,-0.1734,6
13,0.0,0.0,-0.21462,6
14,0.0,0.0,-0.10211,6
15,0.0,0.0,-0.18921,6
16,0.0,0.0,-0.20139,6
17,0.0,0.0,-0.20966,6
18,0.0,0.0,-0.19816,6
19,0.0,0.0,-0.22259,6
20,0.0,0.0,-0.11702,6
21,0.0,0.0,-0.07387,6
22,1.0,0.84,-0.24917,6
23,0.0,0.0,-0.09808,6
24,0.0,0.0,-0.17094,6
25,0.0,0.0,-0.19603,6
26,0.0,0.0,-0.15815,6
27,1.0,1.27,-0.24928,6
28,0.0,0.0,-0.23674,6
29,0.0,0.0,-0.15809,6
30,0.0,0.0,-0.1631,6
31,0.0,0.0,-0.15161,6
32,0.0,0.0,-0.24604,6
33,0.0,0.0,-0.17206,6
34,0.0,0.0,-0.08446,6
35,0.0,0.0,-0.10892,6
36,0.0,0.0,-0.19125,6
37,1.0,0.46,-0.24924,6
38,0.0,0.0,-0.16867,6
39,0.0,0.0,-0.11594,6
40,0.0,0.0,-0.18038,6
41,0.0,0.0,-0.15287,6
42,0.0,0.0,-0.16767,6
43,0.0,0.0,-0.1433,6
44,0.0,0.0,-0.13528,6
45,0.0,0.0,-0.08503,6
46,0.0,0.0,-0.23446,6
47,0.0,0.0,-0.12617,6
48,0.0,0.0,-0.15686,6
49,0.0,0.0,-0.18518,6
50,0.0,0.0,-0.12533,6
51,0.0,0.0,-0.20339,6
52,0.0,0.0,-0.08312,6
53,0.0,0.0,-0.16808,6
54,0.0,0.0,-0.18309,6
55,0.0,0.0,-0.19337,6
56,0.0,0.0,-0.23751,6
