community,collapse,stress_param,max_eigval,motif
1,0.0,0.0,0.02616,1
2,1.0,0.25,-0.24963,1
3,0.0,0.0,-0.05369,1
4,0.0,0.0,-0.11431,1
5,0.0,0.0,-0.09232,1
6,0.0,0.0,-0.096,1
7,0.0,0.0,-0.02586,1
8,0.0,0.0,-0.07763,1
9,0.0,0.0,-0.08919,1
10,0.0,0.0,-0.04659,1
11,0.0,0.0,-0.09483,1
12,0.0,0.0,-0.08036,1
13,0.0,0.0,-0.07534,1
14,0.0,0.0,-0.24933,1
15,0.0,0.0,-0.0454,1
16,0.0,0.0,-0.08836,1
17,0.0,0.0,-0.08192,1
18,0.0,0.0,-0.02274,1
19,0.0,0.0,-0.03161,1
20,0.0,0.0,-0.24702,1
21,0.0,0.0,-0.03823,1
22,0.0,0.0,-0.01199,1
23,0.0,0.0,0.00374,1
24,0.0,0.0,-0.05353,1
25,0.0,0.0,-0.07608,1
26,0.0,0.0,-0.0154,1
27,0.0,0.0,-0.02177,1
28,0.0,0.0,-0.08144,1
29,0.0,0.0,-0.02998,1
30,0.0,0.0,-0.091,1
31,0.0,0.0,-0.16818,1
32,0.0,0.0,-0.06243,1
33,0.0,0.0,-0.14557,1
34,0.0,0.0,-0.21546,1
35,0.0,0.0,-0.01023,1
36,0.0,0.0,-0.129,1
37,0.0,0.0,-0.09955,1
38,0.0,0.0,-0.09158,1
39,0.0,0.0,0.06815,1
40,1.0,0.81,-0.23848,1
41,0.0,0.0,-0.15731,1
42,0.0,0.0,-0.03285,1
43,0.0,0.0,-0.02403,1
44,0.0,0.0,-0.10441,1
45,0.0,0.0,-0.06565,1
46,0.0,0.0,-0.03558,1
47,0.0,0.0,-0.1429,1
48,0.0,0.0,-0.01856,1
49,0.0,0.0,-0.04172,1
50,0.0,0.0,-0.12864,1
51,0.0,0.0,-0.06661,1
52,0.0,0.0,0.12279,1
53,1.0,1.49,-0.23497,1
54,0.0,0.0,-0.06603,1
55,0.0,0.0,-0.04378,1
56,0.0,0.0,-0.03273,1
57,0.0,0.0,-0.10347,1
58,0.0,0.0,-0.11668,1
59,0.0,0.0,0.0515,1
60,0.0,0.0,0.03676,1
61,0.0,0.0,0.15471,1
62,0.0,0.0,-0.04206,1
63,0.0,0.0,-0.03893,1
64,0.0,0.0,-0.02796,1
65,0.0,0.0,-0.03678,1
66,0.0,0.0,-0.06442,1
67,0.0,0.0,-0.03943,1
68,0.0,0.0,0.01369,1
69,0.0,0.0,-0.05331,1
70,1.0,0.29,-0.24815,1
71,0.0,0.0,-0.03901,1
72,0.0,0.0,-0.08407,1
73,1.0,3.54,-0.24881,1
74,0.0,0.0,-0.06727,1
75,0.0,0.0,-0.13472,1
76,0.0,0.0,-0.03582,1
77,0.0,0.0,-0.02723,1
78,0.0,0.0,-0.07626,1
79,0.0,0.0,-0.08123,1
80,0.0,0.0,-0.02505,1
81,0.0,0.0,-0.0387,1
82,0.0,0.0,-0.0722,1
83,0.0,0.0,-0.01369,1
84,0.0,0.0,-0.0961,1
85,0.0,0.0,-0.01599,1
86,0.0,0.0,-0.09725,1
87,0.0,0.0,-0.24981,1
88,0.0,0.0,-0.06611,1
89,0.0,0.0,-0.05748,1
90,0.0,0.0,-0.08203,1
91,0.0,0.0,-0.09385,1
92,0.0,0.0,-0.12783,1
93,0.0,0.0,-0.01663,1
94,1.0,0.89,0.07081,1
95,0.0,0.0,-0.11845,1
96,0.0,0.0,-0.07145,1
97,0.0,0.0,-0.07222,1
98,0.0,0.0,-0.12981,1
99,0.0,0.0,-0.06073,1
100,0.0,0.0,-0.0272,1
